project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_SCA,project_type_CIP,project_type_DIIT,project_type_DOE,project_type_DOES,project_type_DOER,project_type_RESOA,project_type_IEH,project_type_PRE-K,project_type_DCAS,project_type_FAST_TRACK_PROJECTS,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,2017-07-27,2017-11-27,08/03/2017,0.0,1792.0,1792.0,DSF: 0000823560,False,1,1,0,0,0,0,1,0,0,0,0,bronx,-inf,-1792.0,123.0
X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-05-15,2018-01-15,09/14/2017,50000.0,49625.0,49625.0,DSF: 0000844624,False,0,0,1,0,0,0,1,0,0,0,0,bronx,1.0,375.0,245.0
X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-05-15,2018-01-15,09/14/2017,76250.0,75677.0,75677.0,DSF: 0000845571,False,0,0,1,0,0,0,1,0,0,0,0,bronx,1.0,573.0,245.0
X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,2016-08-02,2016-12-19,02/13/2017,36881.0,57074.0,56288.0,"DSF: 0000820035, 0000866151",False,1,1,0,0,0,0,0,0,0,0,0,bronx,-53.0,-19407.0,139.0
X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,2017-05-15,2017-10-16,12/18/2017,141246.0,183396.0,180358.0,"DSF: 0000820035, 0000866151",False,1,1,0,0,0,0,0,0,0,0,0,bronx,-28.000000000000004,-39112.0,154.0
X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,2017-03-13,,11/13/2017,62000.0,62000.0,61974.0,DSF: 0000845399,False,1,0,0,0,0,0,0,0,0,0,0,bronx,0.0,26.0,
X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-05-01,2018-01-15,07/27/2017,50000.0,49621.0,49621.0,DSF: 0000845054,False,0,0,1,0,0,0,1,0,0,0,0,bronx,1.0,379.0,259.0
X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,2014-05-13,2014-09-26,09/10/2014,8017.0,23855.0,23855.0,DSF: 0000799913,True,1,1,0,0,0,0,0,0,0,0,0,bronx,-198.0,-15838.0,136.0
X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,2014-10-15,2015-03-20,04/28/2015,29395.0,80349.0,64886.0,DSF: 0000799913,True,1,1,0,0,0,0,0,0,0,0,0,bronx,-121.0,-35491.0,156.0
X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,2013-04-30,2013-09-13,06/21/2013,43040.0,41498.0,41498.0,DSF: 0000775984,False,1,1,0,0,0,0,0,0,0,0,0,bronx,4.0,1542.0,136.0
X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,2013-07-17,2013-12-18,02/03/2014,150640.0,204664.0,204664.0,DSF: 0000775984,False,1,1,0,0,0,0,0,0,0,0,0,bronx,-36.0,-54024.0,154.0
X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,2016-06-29,2016-10-28,01/17/2017,6840.0,22583.0,22583.0,DSF: 0000843858,True,1,1,0,0,0,0,0,0,0,0,0,bronx,-229.99999999999997,-15743.0,121.0
X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,2017-01-17,2017-07-17,04/20/2017,25080.0,59165.0,59165.0,DSF: 0000843858,True,1,1,0,0,0,0,0,0,0,0,0,bronx,-136.0,-34085.0,181.0
X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,2013-05-20,2013-05-20,05/20/2013,758294.0,219702.0,219702.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",True,1,1,0,0,0,0,0,0,0,0,0,bronx,71.0,538592.0,0.0
X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,2013-05-20,2013-10-21,11/06/2013,3033180.0,861780.0,848735.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False,1,1,0,0,0,0,0,0,0,0,0,bronx,72.0,2184445.0,154.0
X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,2016-09-16,2017-01-20,01/25/2017,9144.0,17497.0,17497.0,DSF: 0000843859,False,1,1,0,0,0,0,0,0,0,0,0,bronx,-91.0,-8353.0,126.0
X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,2017-01-25,2017-07-25,04/20/2017,33528.0,44436.0,44436.0,DSF: 0000843859,False,1,1,0,0,0,0,0,0,0,0,0,bronx,-33.0,-10908.0,181.0
