project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_SCA,project_type_CIP,project_type_DIIT,project_type_DOE,project_type_DOES,project_type_DOER,project_type_RESOA,project_type_IEH,project_type_PRE-K,project_type_DCAS,project_type_FAST_TRACK_PROJECTS,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,,,PNS,280280.0,280280.0,951.0,DSF: 0000823560,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,279329.0,
X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",,,PNS,69238.0,52551.0,2423.0,DSF: 0000823560,False,1,1,0,0,0,0,1,0,0,0,0,bronx,97.0,66815.0,
X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Construction,,,PNS,2085039.0,2085039.0,1718.0,"DSF: 0000820035, 0000866151",False,1,1,0,0,0,0,0,0,0,0,0,bronx,100.0,2083321.0,
X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,"CM, F&E",,,PNS,253705.0,253705.0,7119.0,"DSF: 0000820035, 0000866151",False,1,1,0,0,0,0,0,0,0,0,0,bronx,97.0,246586.0,
X279,P.S. 279 - BRONX,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PART,Construction,,,PNS,435000.0,435000.0,0.0,DSF: 0000800475,False,0,0,0,1,0,0,1,0,0,0,0,bronx,100.0,435000.0,
X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,,,PNS,50000.0,50000.0,0.0,DSF: 0000866453,False,0,0,0,0,0,0,0,0,0,0,0,bronx,100.0,50000.0,
X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,,,PNS,150000.0,150000.0,0.0,DSF: 0000866453,False,0,0,0,0,0,0,0,0,0,0,0,bronx,100.0,150000.0,
X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,,,PNS,500000.0,500000.0,0.0,DSF: 0000866453,False,0,0,0,0,0,0,0,0,0,0,0,bronx,100.0,500000.0,
X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,,,PNS,135000.0,135000.0,0.0,DSF: 0000866453,False,0,0,0,0,0,0,0,0,0,0,0,bronx,100.0,135000.0,
X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,,,PNS,4143204.0,4143204.0,47882.0,DSF: 0000798177,False,1,0,0,0,0,0,0,0,0,0,0,bronx,99.0,4095322.0,
X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,,,PNS,58108434.0,58108434.0,9977.0,DSF: 0000798177,False,1,0,0,0,0,0,0,0,0,0,0,bronx,100.0,58098457.0,
X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",,,PNS,8182828.0,8182828.0,30676.0,DSF: 0000798177,False,1,0,0,0,0,0,0,0,0,0,0,bronx,100.0,8152152.0,
X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866428,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,0.0,
X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,,,PNS,7500.0,7500.0,0.0,DSF: 0000866428,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,7500.0,
X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,,,PNS,110000.0,110000.0,0.0,DSF: 0000866428,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,110000.0,
X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",,,PNS,7500.0,7500.0,0.0,DSF: 0000866428,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,7500.0,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867305,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,0.0,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,,,PNS,26880.0,26880.0,0.0,DSF: 0000867305,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,26880.0,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,,,PNS,394240.0,394240.0,0.0,DSF: 0000867305,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,394240.0,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",,,PNS,26880.0,26880.0,0.0,DSF: 0000867305,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,26880.0,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,,,PNS,,0.0,0.0,DSF: 0000867312,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,,,PNS,,0.0,0.0,DSF: 0000867312,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,,,PNS,,0.0,0.0,DSF: 0000867312,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,,
X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",,,PNS,,0.0,0.0,DSF: 0000867312,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,,
X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866411,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,0.0,
