project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,Construction,2016-07-07,2018-03-28,4050000.0,4229193.0,3791127.0,"DSF: 0000821031, 0000822210",False,bronx,6.0,258873.0,629.0
X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,"CM, F&E",2016-07-07,2018-03-28,252000.0,489326.0,485620.0,"DSF: 0000821031, 0000822210",False,bronx,-93.0,-233620.0,629.0
X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,2017-08-04,2018-02-05,19110.0,17318.0,7169.0,DSF: 0000823560,True,bronx,62.0,11941.0,185.0
X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,2017-08-07,2018-02-26,1294751.0,1294751.0,161755.0,DSF: 0000798177,False,bronx,88.0,1132996.0,203.0
X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Construction,2017-06-02,2018-02-26,311317.0,272329.0,104.0,DSF: 0000799913,False,bronx,100.0,311213.0,269.0
X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,"CM, F&E",2017-06-02,2018-02-26,72151.0,36406.0,20060.0,DSF: 0000799913,False,bronx,72.0,52091.0,269.0
X368,IN-TECH ACADEMY (M.S. / HIGH S,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-11-17,2018-01-31,50000.0,49620.0,49620.0,DSF: 0000845056,True,bronx,1.0,380.0,75.0
X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Construction,2014-04-10,2015-10-01,2442520.0,2294926.0,1527373.0,DSF: 0000775984,False,bronx,37.0,915147.0,539.0
X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,"CM, F&E",2014-04-10,2015-10-01,172160.0,473323.0,473323.0,DSF: 0000775984,True,bronx,-175.0,-301163.0,539.0
X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,2017-06-26,2018-04-01,265620.0,238433.0,6283.0,DSF: 0000843858,False,bronx,98.0,259337.0,279.0
