project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,Complete,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,DSF: 0000823560,False
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,09/14/2017,50000,49625.0,49625.0,DSF: 0000844624,False
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,09/14/2017,76250,75677.0,75677.0,DSF: 0000845571,False
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,Complete,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,"DSF: 0000820035, 0000866151",False
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,Complete,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,"DSF: 0000820035, 0000866151",False
10,X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,03/13/2017,F&E,11/13/2017,62000,62000.0,61974.0,DSF: 0000845399,False
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,07/27/2017,50000,49621.0,49621.0,DSF: 0000845054,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,Complete,05/13/2014,09/26/2014,09/10/2014,8017,23855.0,23855.0,DSF: 0000799913,True
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,Complete,10/15/2014,03/20/2015,04/28/2015,29395,80349.0,64886.0,DSF: 0000799913,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,Complete,04/30/2013,09/13/2013,06/21/2013,43040,41498.0,41498.0,DSF: 0000775984,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,Complete,07/17/2013,12/18/2013,02/03/2014,150640,204664.0,204664.0,DSF: 0000775984,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,06/29/2016,10/28/2016,01/17/2017,6840,22583.0,22583.0,DSF: 0000843858,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,01/17/2017,07/17/2017,04/20/2017,25080,59165.0,59165.0,DSF: 0000843858,True
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,Complete,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",True
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,Complete,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,09/16/2016,01/20/2017,01/25/2017,9144,17497.0,17497.0,DSF: 0000843859,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,01/25/2017,07/25/2017,04/20/2017,33528,44436.0,44436.0,DSF: 0000843859,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,Complete,01/14/2016,05/16/2016,04/20/2016,0,26643.0,26643.0,DSF: 0000822352,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,Complete,06/01/2016,10/17/2016,10/14/2016,156000,106569.0,106569.0,DSF: 0000822352,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,IEH PO18-STAGE ELECTRICAL PANEL,Construction,Complete,10/19/2016,IEH,07/01/2017,IEH,24240.0,5192.0,DSF: 0000043425,False
10,X435,FORDHAM HS FOR THE ARTS - BX,SCA IEH,"IEH PO18-CUSTODIANS TOILET,GIRLS LOCKER RM VESTIBU",Construction,Complete,04/06/2017,IEH,08/09/2017,IEH,21800.0,1894.0,DSF: 0000046168,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,Complete,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,Complete,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Scope,Complete,11/22/2013,03/21/2014,03/03/2014,60456,61373.0,61373.0,DSF: 0000774374,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Design,Complete,03/28/2014,09/26/2014,09/23/2014,241822,269123.0,259555.0,DSF: 0000774374,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,10/24/2017,02/23/2018,11/30/2017,12874,1572.0,1572.0,DSF: 0000867078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,Complete,01/26/2015,05/27/2015,04/02/2015,0,34470.0,34470.0,DSF: 0000800078,False
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Scope,Complete,05/06/2015,05/13/2015,05/13/2015,229175,168448.0,168448.0,DSF: 0000822032,False
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Design,Complete,05/14/2015,09/22/2015,12/30/2015,733360,783855.0,623316.0,DSF: 0000822032,False
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Construction,Complete,03/18/2016,09/08/2017,09/05/2017,10285374,10060052.0,9878486.0,DSF: 0000822032,False
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,"CM, F&E",Complete,03/18/2016,09/08/2017,09/05/2017,1811017,1406947.0,1339927.0,DSF: 0000822032,False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,Complete,01/30/2015,06/16/2015,05/01/2015,134776,41223.0,41221.0,"DSF: 0000820291, 0000822171",False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,Complete,06/25/2015,11/27/2015,09/29/2015,539100,120430.0,116692.0,"DSF: 0000820291, 0000822171",False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Scope,Complete,04/07/2017,08/08/2017,06/13/2017,20818,24058.0,24058.0,DSF: 0000864171,False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Design,Complete,07/19/2017,12/05/2017,12/07/2017,83273,102866.0,96356.0,DSF: 0000864171,False
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,"IEH PO18-ROOMS 029,029B,109,124",Construction,Complete,02/27/2017,IEH,07/15/2017,IEH,66649.0,6304.0,DSF: 0000045438,False
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,IEH PO18-AUDITORIUM,Construction,Complete,07/20/2017,IEH,08/04/2017,IEH,41408.0,6724.0,DSF: 0000047766,False
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Scope,Complete,12/11/2017,12/11/2017,12/11/2017,30000,0.0,0.0,DSF: 0000798176,True
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,06/01/2012,10/17/2012,10/19/2012,110940,103978.0,103978.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,03/27/2013,09/26/2013,11/08/2013,388290,329925.0,316570.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Construction,Complete,04/07/2014,01/26/2016,01/30/2017,6295845,6201593.0,5989027.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",Complete,04/07/2014,01/26/2016,01/30/2017,551018,595580.0,594538.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,Complete,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,Complete,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
2,M660,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,07/06/2017,70000,69473.0,69473.0,DSF: 0000845312,False
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,Complete,07/22/2008,09/08/2008,09/16/2008,15000,34136.0,33979.0,DSF: 0000622222,True
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Design,Complete,09/16/2008,10/30/2008,09/16/2008,55000,171391.0,146190.0,DSF: 0000622222,True
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA IEH,IEH PO18-BASEMENT IT OFFICE AND SERVER ROOM,Construction,Complete,08/09/2017,IEH,12/23/2017,IEH,20623.0,1526.0,DSF: 0000048048,False
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Scope,Complete,01/13/2017,05/15/2017,02/08/2017,0,3174.0,3174.0,DSF: 0000800742,False
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Design,Complete,02/08/2017,08/08/2017,04/12/2017,13360,12760.0,12760.0,DSF: 0000800742,False
2,M807,HARVEY MILK SCHOOL - MANHATTAN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYS,Purch & Install,Complete,06/24/2013,12/31/2013,09/30/2017,DIIX,164632.0,164632.0,DSF: 0000776339,True
2,M833,HS FOR ECONOMICS & FINANCE - M,SCA IEH,"IEH PO18-ROOMS -303, 304, 307, 308, 509, 510, 504",Construction,Complete,12/29/2016,IEH,07/02/2017,IEH,168513.0,2797.0,DSF: 0000044725,False
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,6TH FLOOR EGRESS/FIRE ALARM,Scope,Complete,06/16/2015,11/13/2015,11/09/2015,54315,76056.0,76056.0,"DSF: 0000821944, 0000832931",False
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,6TH FLOOR EGRESS/FIRE ALARM,Design,Complete,02/26/2016,08/26/2016,11/18/2016,217260,369930.0,298058.0,"DSF: 0000821944, 0000832931",False
2,M844,M721 SPED - MANHATTAN,SCA IEH,IEH PO18-8TH FL CONFERENCE ROOM,Construction,Complete,08/11/2017,IEH,12/02/2017,IEH,27716.0,2170.0,DSF: 0000048106,False
2,M874,BARUCH COLLEGE CAMPUS HS - M,SCA IEH,IEH PO18-ROOM 510,Construction,Complete,10/13/2017,IEH,10/15/2017,IEH,41340.0,5478.0,DSF: 0000049006,False
2,M933,CITY KNOLL MIDDLE SCHOOL,SCA IEH,IEH PO18-ROOM 403 & STUDENT BATHROOM,Construction,Complete,06/22/2017,IEH,10/03/2017,IEH,762.0,762.0,DSF: 0000047410,False
2,M933,CITY KNOLL MIDDLE SCHOOL,SCA IEH,"IEH PO18-2ND FL BOYS BATH, 6TH FL HALLWAY, ROOM 60",Construction,Complete,08/24/2017,IEH,09/01/2017,IEH,26529.0,1530.0,DSF: 0000048345,False
3,M009,P.S. 9 - MANHATTAN,SCA IEH,IEH PO18-OUTSIDE ROOM 108,Construction,Complete,05/30/2017,IEH,11/16/2017,IEH,1956.0,1456.0,DSF: 0000047025,False
3,M009,P.S. 9 - MANHATTAN,SCA IEH,IEH PO18-ROOM 312,Construction,Complete,11/03/2017,IEH,11/25/2017,IEH,34409.0,3922.0,DSF: 0000049229,False
3,M044,P.S. 334 - MANHATTAN,SCA IEH,IEH PO18-KITCHEN DELIVERY ENTRANCE,Construction,Complete,08/31/2017,IEH,09/01/2017,IEH,14020.0,1846.0,DSF: 0000048525,False
3,M054,I.S. 54 - MANHATTAN,SCA CIP,MASONRY & GRANITE STEP DEFECTS,Scope,Complete,07/02/2014,11/18/2014,10/28/2014,26490,48680.0,39668.0,DSF: 0000785205,False
3,M054,I.S. 54 - MANHATTAN,SCA CIP,MASONRY & GRANITE STEP DEFECTS,Design,Complete,12/03/2014,05/06/2015,07/14/2015,97130,92328.0,67276.0,DSF: 0000785205,False
3,M075,P.S. 75 - MANHATTAN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Scope,Complete,07/11/2013,12/12/2013,02/14/2014,110989,75354.0,75354.0,"DSF: 0000775607, 0000775608",False
3,M075,P.S. 75 - MANHATTAN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Design,Complete,02/18/2014,07/18/2014,07/25/2014,436623,467318.0,445008.0,"DSF: 0000775607, 0000775608",False
3,M075,P.S. 75 - MANHATTAN,DCAS/NYPA,HIGH EFFICIENCY LIGHTING SYSTEM,Construction,Complete,04/02/2015,05/26/2017,05/26/2017,96329,96329.0,96329.0,DSF:,False
3,M076,P.S. 76 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Scope,Complete,03/02/2017,06/30/2017,04/04/2017,0,12434.0,12434.0,DSF: 0000844204,False
3,M076,P.S. 76 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,Complete,04/04/2017,09/01/2017,05/12/2017,18169,8337.0,2472.0,DSF: 0000844204,False
3,M076,P.S. 76 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,Complete,06/27/2017,01/22/2018,11/14/2017,266472,256463.0,181106.0,DSF: 0000844204,False
3,M076,P.S. 76 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",Complete,06/27/2017,01/22/2018,11/14/2017,18169,28375.0,10797.0,DSF: 0000844204,False
