project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,Construction,In-Progress,07/07/2016,03/28/2018,,4050000,4229193.0,3791127.0,"DSF: 0000821031, 0000822210",False
10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,"CM, F&E",In-Progress,07/07/2016,03/28/2018,,252000,489326.0,485620.0,"DSF: 0000821031, 0000822210",False
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,In-Progress,08/04/2017,02/05/2018,,19110,17318.0,7169.0,DSF: 0000823560,True
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,08/07/2017,02/26/2018,,1294751,1294751.0,161755.0,DSF: 0000798177,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Construction,In-Progress,06/02/2017,02/26/2018,,311317,272329.0,104.0,DSF: 0000799913,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,"CM, F&E",In-Progress,06/02/2017,02/26/2018,,72151,36406.0,20060.0,DSF: 0000799913,False
10,X368,IN-TECH ACADEMY (M.S. / HIGH S,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,01/31/2018,,50000,49620.0,49620.0,DSF: 0000845056,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Construction,In-Progress,04/10/2014,10/01/2015,,2442520,2294926.0,1527373.0,DSF: 0000775984,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,"CM, F&E",In-Progress,04/10/2014,10/01/2015,,172160,473323.0,473323.0,DSF: 0000775984,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/26/2017,04/01/2018,,265620,238433.0,6283.0,DSF: 0000843858,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/26/2017,04/01/2018,,243952,213552.0,12476.0,DSF: 0000843858,False
10,X430,M.S./H.S. 342 - BRONX,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,06/12/2017,DOES,,DOES,161827.0,161827.0,DSF: 0000865882,False
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Construction,In-Progress,09/08/2014,09/06/2018,,56872126,53590274.0,50017110.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,"CM, F&E",In-Progress,09/08/2014,09/06/2018,,3538709,1715406.0,1702617.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/15/2017,03/11/2018,,355094,316535.0,7533.0,DSF: 0000843859,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/15/2017,03/11/2018,,266901,228362.0,17433.0,DSF: 0000843859,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,In-Progress,11/07/2017,08/03/2018,,2288000,1984152.0,26852.0,DSF: 0000822352,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",In-Progress,11/07/2017,08/03/2018,,156000,39526.0,39526.0,DSF: 0000822352,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Construction,In-Progress,07/07/2016,01/02/2019,,30587626,28356246.0,16038131.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,"CM, F&E",In-Progress,07/07/2016,01/02/2019,,1903230,592325.0,578567.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,11/30/2017,05/29/2018,,47204,47204.0,6287.0,DSF: 0000867078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Scope,In-Progress,01/26/2015,05/27/2015,,0,5978.0,0.0,DSF: 0000800415,True
