project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_split
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,0000823560,False,SCA
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,0000823560,False,CIP
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,0000823560,False,RESOA
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,50000,49625.0,49625.0,0000844624,False,DIIT
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,50000,49625.0,49625.0,0000844624,False,RESOA
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,76250,75677.0,75677.0,0000845571,False,DIIT
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,76250,75677.0,75677.0,0000845571,False,RESOA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000820035,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000866151,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000820035,False,CIP
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000866151,False,CIP
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000820035,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000866151,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000820035,False,CIP
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000866151,False,CIP
10,X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,03/13/2017,F&E,11/13/2017,62000,62000.0,61974.0,0000845399,False,SCA
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/01/2017,01/15/2018,07/27/2017,50000,49621.0,49621.0,0000845054,False,DIIT
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/01/2017,01/15/2018,07/27/2017,50000,49621.0,49621.0,0000845054,False,RESOA
