project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,Construction,In-Progress,07/07/2016,03/28/2018,,4050000,4229193.0,3791127.0,"DSF: 0000821031, 0000822210",False
10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,"CM, F&E",In-Progress,07/07/2016,03/28/2018,,252000,489326.0,485620.0,"DSF: 0000821031, 0000822210",False
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,Complete,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,DSF: 0000823560,False
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,In-Progress,08/04/2017,02/05/2018,,19110,17318.0,7169.0,DSF: 0000823560,True
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,280280,280280.0,951.0,DSF: 0000823560,False
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,69238,52551.0,2423.0,DSF: 0000823560,False
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,09/14/2017,50000,49625.0,49625.0,DSF: 0000844624,False
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,09/14/2017,76250,75677.0,75677.0,DSF: 0000845571,False
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,Complete,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,"DSF: 0000820035, 0000866151",False
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,Complete,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,"DSF: 0000820035, 0000866151",False
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Construction,PNS,PNS,PNS,PNS,2085039,2085039.0,1718.0,"DSF: 0000820035, 0000866151",False
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,253705,253705.0,7119.0,"DSF: 0000820035, 0000866151",False
10,X279,P.S. 279 - BRONX,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,435000,435000.0,0.0,DSF: 0000800475,False
10,X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,03/13/2017,F&E,11/13/2017,62000,62000.0,61974.0,DSF: 0000845399,False
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,50000,50000.0,0.0,DSF: 0000866453,False
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,150000,150000.0,0.0,DSF: 0000866453,False
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,500000,500000.0,0.0,DSF: 0000866453,False
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,PNS,PNS,PNS,PNS,135000,135000.0,0.0,DSF: 0000866453,False
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,07/27/2017,50000,49621.0,49621.0,DSF: 0000845054,False
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,08/07/2017,02/26/2018,,1294751,1294751.0,161755.0,DSF: 0000798177,False
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,4143204,4143204.0,47882.0,DSF: 0000798177,False
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,58108434,58108434.0,9977.0,DSF: 0000798177,False
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,8182828,8182828.0,30676.0,DSF: 0000798177,False
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000866428,True
